"County","State","FIPS","Total Vote","Clinton","Trump"
"Tippah","MS","28139",9260,1842,7240
"Tishomingo","MS","28141",8371,999,7166
"Tunica","MS","28143",3567,2667,853
"Union","MS","28145",11496,2012,9235
"Walthall","MS","28147",6919,2790,4056
"Warren","MS","28149",19416,9284,9767
"Washington","MS","28151",16825,11380,5244
"Wayne","MS","28153",9599,3524,5990
"Webster","MS","28155",5069,1019,3976
"Wilkinson","MS","28157",4218,2857,1318
"Winston","MS","28159",8881,3850,4910
"Yalobusha","MS","28161",6077,2582,3376
"Yazoo","MS","28163",10070,5369,4598
"Albany","NY","36001",139830,83077,47810
"Allegany","NY","36003",18692,4882,12525
"Broome","NY","36007",86072,39212,40943
"Cattaraugus","NY","36009",31161,9497,19692
"Cayuga","NY","36011",33172,13522,17384
"Chautauqua","NY","36013",54234,19091,31594
"Chemung","NY","36015",36119,13757,20097
"Chenango","NY","36017",20160,6775,11921
"Clinton","NY","36019",32105,15059,14449
"Columbia","NY","36021",30902,15284,13756
"Cortland","NY","36023",20244,8771,9900
"Delaware","NY","36025",19792,6627,11942
"Dutchess","NY","36027",130934,62261,61797
"Erie","NY","36029",423625,215456,188303
"Essex","NY","36031",17218,7762,7958
"Franklin","NY","36033",16952,7297,8221
"Fulton","NY","36035",21214,6496,13462
"Genesee","NY","36037",26432,7650,16915
"Greene","NY","36039",22050,7405,13073
"Hamilton","NY","36041",3225,949,2064
"Herkimer","NY","36043",26255,8083,16699
"Jefferson","NY","36045",38236,13809,21763
"Lewis","NY","36049",11325,3146,7400
"Livingston","NY","36051",30031,10697,17290
"Madison","NY","36053",30064,11667,15936
"Monroe","NY","36055",347790,188592,136582
"Montgomery","NY","36057",19054,6595,11301
"Nassau","NY","36059",636967,326088,288313
"Niagara","NY","36063",92402,35559,51961
"Oneida","NY","36065",91009,33743,51437
"Onondaga","NY","36067",208440,112337,83649
"Ontario","NY","36069",52258,22233,26029
"Orange","NY","36071",152021,68278,76645
"Orleans","NY","36073",16380,4470,10936
"Oswego","NY","36075",48180,17095,27688
"Otsego","NY","36077",25668,10451,13308
"Putnam","NY","36079",48563,19366,27024
"Rensselaer","NY","36083",71562,32717,33726
"Rockland","NY","36087",135087,69342,60911
"St. Lawrence","NY","36089",39158,16488,19942
"Saratoga","NY","36091",114094,50913,54575
"Schenectady","NY","36093",67280,33747,28953
"Schoharie","NY","36095",14050,4240,8831
"Schuyler","NY","36097",8772,3091,5050
"Seneca","NY","36099",13980,5697,7236
"Steuben","NY","36101",42002,12526,26831
"Suffolk","NY","36103",630846,277314,328885
"Sullivan","NY","36105",29955,12568,15931
"Tioga","NY","36107",22299,7526,13260
"Tompkins","NY","36109",42678,28890,10371
"Ulster","NY","36111",81355,42101,34006
"Warren","NY","36113",31408,13091,15751
"Washington","NY","36115",24528,9098,13610
"Wayne","NY","36117",39687,13473,23380
"Westchester","NY","36119",420655,272926,131238
"Wyoming","NY","36121",17298,3904,12442
"Yates","NY","36123",10066,3659,5660
"Bronx","NY","36005",399514,353646,37797
"Kings","NY","36047",805605,640553,141044
"New York","NY","36061",668818,579013,64929
"Queens","NY","36081",686393,517220,149341
"Richmond","NY","36085",180960,74143,101437
"Alamance","NC","37001",71157,29833,38815
"Alexander","NC","37003",18271,3767,13893
"Alleghany","NC","37005",5315,1306,3814
